2026-04-09 20:30:39 | trip_planner | INFO | [Node: Currency Conversion] Starting currency setup
2026-04-09 20:30:40 | trip_planner | INFO | Fetched live rates for 166 currencies
2026-04-09 20:30:40 | trip_planner | INFO | [Node: Weather] Fetching weather data
2026-04-09 20:30:40 | trip_planner | WARNING | OPENWEATHER_API_KEY not set – weather will use Tavily fallback
2026-04-09 20:30:40 | trip_planner | INFO | Using Tavily fallback weather for Kolkata
2026-04-09 20:30:40 | trip_planner | INFO | TavilySearchTool initialized
2026-04-09 20:30:40 | trip_planner | INFO | Tavily search: 'current weather Kolkata India temperature humidity forecast today'
2026-04-09 20:30:45 | trip_planner | INFO | [Node: Weather] Complete: 28.0°C, Clear Sky, 5 forecast days
2026-04-09 20:30:45 | trip_planner | INFO | [Node: Budget Planner] Starting
2026-04-09 20:30:45 | trip_planner | INFO | GroqClient initialized with llama3-8b-instant
2026-04-09 20:30:45 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:47 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:49 | trip_planner | WARNING | [Node: Budget Planner] LLM failed (using rule-based): Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:30:49 | trip_planner | INFO | [Node: Hotel Finder] Starting
2026-04-09 20:30:49 | trip_planner | INFO | Tavily search: 'budget affordable hotels in Kolkata with good ratings booking.com MakeMyTrip 202...' 
2026-04-09 20:30:50 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:52 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:30:54 | trip_planner | WARNING | [Node: Hotel Finder] Tavily/LLM failed: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:30:54 | trip_planner | INFO | [Node: Hotel Finder] Got 0 from LLM, filling with fallback
2026-04-09 20:30:54 | trip_planner | INFO | [Node: Hotel Finder] Returning 3 hotels
2026-04-09 20:30:54 | trip_planner | INFO | [Node: Itinerary Planner] Starting
2026-04-09 20:30:54 | trip_planner | INFO | Tavily search: 'top activities things to do Kolkata Food & Cuisine History & Culture tourist att...' 
